1. 失血性休克的“5P”临床表现不正确的是
   A. 红细胞溶解
   B. 红细胞不溶解
 ->C. 红细胞凝集
   D. 红细胞不凝集
   E. 红细胞部分溶解

126. 对溺水所致呼吸心搏骤停者，其紧急处理措施最重要的是
   A. 立即倒水
   B. 呼吸兴奋药的应用
   C. 心内注射肾上腺素
 ->D. 人工呼吸和胸外心脏按压
   E. 皮质激素的应用

127. 高血压合并糖尿病患者宜首选
   A. β受体阻断药
   B. 钙通道阻滞药
   C. α<sub>1</sub>受体阻断药
   D. 利尿药
 ->E. 血管紧张素转化酶抑制药

128. 循证医学史遵循临床证据的临床医学，即审慎、准确和明智地应用当前所能获得的最佳研究证据，结合临床医师技能和多年的临床经验，考虑患者的价值和愿望，为患者制定治疗措施。采用描述正确的是
   A. 循证医学的核心是医疗决策尽量以客观研究结果为依据
   B. 循证医学需要医师应用临床技能和经验
   C. 循证医学需要把临床研究证据、医师的临床实践和患者的愿望结合在一起
   D. 循证医学以随即对照的临床研究为基础，但是并不是绝对等同
 ->E. 以上都是

129. 关于临床肺部感染评分（CPIS）评分系统中不包括的项目是
   A. 白细胞计数
   B. 气管分泌物
   C. 氧合情况
   D. X线胸片、肺部浸润影
 ->E. 咳嗽

130. 以下哪项不是支气管灌洗术的适应证
   A. 肺不张、气道内积血
   B. 气道分泌物病原学检查
   C. 异物清除
 ->D. 有严重低氧血症和高碳酸血症的患者
   E. 重症支气管哮喘持续状态疑有气管内黏液栓形成的患者

131. 经皮内镜下穿刺胃空肠造口术的禁忌证是
   A. 急性胰腺炎
   B. 上消化道不全梗阻
   C. 高位肠瘘
 ->D. 大量腹腔积液
   E. 胃食管反流

132. 有脉络丛结构的是
 ->A. 侧脑室
   B. 终池
   C. 中脑水管
   D. 小脑延髓池
   E. 蛛网膜下隙

133. 下列不属于心力衰竭病因的是
   A. 心脏前负荷过重
   B. 心脏后负荷过重
   C. 心肌代谢障碍
   D. 弥漫性心肌病
 ->E. 体力负荷过重

134. 关于癫痫治疗原则的叙述下列哪项错误
   A. 在全面评价患者后才开始长时间的抗癫痫治疗
   B. 依据发作类型选择用药
 ->C. 尽量小剂量联合用药
   D. 从小剂量开始，逐渐增加至能有效控制发作又不产生毒性反应为止
   E. 如需换药，应递减旧药，递增新药

135. 肠功能衰竭发病机制，错误的是
   A. 肠黏膜机械屏障损伤
   B. 肠黏膜化学屏障损伤
   C. 肠黏膜生物屏障损伤
   D. 肠黏膜免疫屏障损伤
 ->E. 肠源性内毒素血症和肠源性感染

136. 对肩关节不正确的描述是
   A. 脓骨头大，关节盂浅
 ->B. 关节囊厚而坚韧
   C. 关节囊前、上、后方有肌腱或韧带加强
   D. 易向前下方脱位
   E. 人体运动最灵活的关节

137. 下列有关免疫紊乱病因的叙述中，错误的是
   A. 常因创伤、感染、休克等严重打击所引起
 ->B. 患者常表现为异常的全身炎症反应和免疫亢进
   C. 患者常表现为异常的拿身炎症反应和免疫抑制
   D. 促炎细胞因子在免疫紊乱的过程中发挥了一定作用
   E. 常涉及神经、内分泌、免疫、内皮细胞等系统

138. 单向琼脂扩散法测定是
   A. 定性实验，不能定量
   B. 定量实验，不能定性
 ->C. 可通过标准曲线求出待测样本含量
   D. 沉淀环大小可直接反映待测样本含量
   E. 以上都不对

139. 不属于重度营养不良的指标是
   A. 体重下降>40%
   B. 血清白蛋白<21 g/L
   C. 血清转铁蛋白<1.00 g/L
 ->D. 上臂肌围60%～80%
   E. 淋巴细胞总数<0.8x109/L

140. 急性肾小球肾炎水肿发生的主要机制为
 ->A. 肾小球滤过率下降，水钠潴留
   B. 大量蛋白尿引起低蛋白血症
   C. 继发性醛固酮增多症
   D. 抗利尿激素增加
   E. 心功能不全

141. 创伤后组织器官局部反应主要表现，不正确的是
   A. 微循环障碍
   B. 组织细胞变性坏死
   C. 炎症反应
   D. 组织结构破坏
 ->E. 淀粉样变

142. 下列有关阿莫西林的正确叙述是
   A. 口服易被胃酸破坏
   B. 对β-内酰胺酶稳定
 ->C. 可杀灭幽门螺杆菌
   D. 可抗铜绿假单胞菌
   E. 不能用于治疗伤寒

143. 丘脑非特异投射系统的主要作用是
   A. 引起触觉
   B. 引起牵涉痛
   C. 调节内脏活动
 ->D. 维持大脑皮质的兴奋状态
   E. 维持睡眠状态

144. 《2010AHA心肺复苏与心血管急救指南》中建议对婴儿及青春期前儿童患者实施双人心肺复苏（CPR），其按压：呼吸比例为
   A. 30∶2
   B. 20∶2
 ->C. 15∶2
   D. 3∶1
   E. 30∶1

145. 产妇，第1胎，孕38周，双胎，第1胎儿臀位脐带脱垂，行臀位牵引娩出，第2胎儿头位娩出，产后20分钟突然阴道出血300 ml。该产妇最及时的处理是
   A. 观察胎盘剥离迹象，协助胎盘娩出
   B. 牵引脐带，按压宫底，迫使胎盘娩出
 ->C. 手剥胎盘
   D. 检查软产道
   E. 输液，静脉注射麦角新碱

146. 关于中心静脉压的叙述，错误的是
   A. 指右心房和胸腔内大静脉的血压
   B. 正常变动范围为4～12 cmH<sub>2</sub>O
   C. 是反映心血管功能的又一指标
 ->D. 心脏射血能力较强，中心静脉压就会较高
   E. 中心静脉压偏低，常提示输液量不足

147. 终末期肝病最合适的治疗方案是
   A. 保肝药物维持
   B. 人工肝
 ->C. 肝移植
   D. 使用肝细胞生长因子
   E. 中药

148. 关于呼气末CO<sub>2</sub>监测，下列哪项是错误的
   A. 是主要反映肺泡通气功能的一项指标
   B. 静滴NaHCO<sub>3</sub>过快、过多可引起血中CO<sub>2</sub>突然升高，PetCO<sub>2</sub>增加
   C. 主要应用于无创机械通气患者
 ->D. 临床上最常用的方法是红外线CO<sub>2</sub>分析仪法
   E. 因PaCO<sub>2</sub>≈PACO<sub>2</sub>≈PetCO<sub>2</sub>，故PetCO<sub>2</sub>能反映PaCO<sub>2</sub>的变化

149. 连续性肾脏替代治疗CRRT的特点中，正确的是
 ->A. 血流动力学稳定
   B. 溶质清除率较常规血液透析低
   C. 不适合在ICU病房使用
   D. 在临床上限制了营养支持治疗
   E. 临床费用较低

150. 浮动胸壁多发生在
 ->A. 前胸壁
   B. 后胸壁
   C. 侧胸壁
   D. 上胸壁
   E. 背部

151. 休克是指
   A. 是剧烈的震荡或打击
   B. 是外周血管紧张性降低所致的循环衰竭
   C. 是机体对外界刺激发生的应激反应
   D. 是以血压降低尿量减少为主要表现的综合征
 ->E. 是有效循环血量急剧减少使全身微循环血液灌注严重不足，以致细胞损伤重要器官机能代谢障碍的全身性病理过程
解析：根据现代医学理论，休克是指各种原因导致的微循环障碍。

152. 急性肾衰竭最严重的并发症是
   A. 高镁血症
   B. 水中毒
 ->C. 高钾血症
   D. 氮质血症
   E. 代谢性酸中毒

153. 急性肾小管坏死性急性肾衰竭少尿期下列哪一项变化是错误的
   A. 水中毒
   B. 代谢性酸中毒
   C. 高钾血症
 ->D. 高钠血症
   E. 高镁血症

154. 目前的容量负荷指标不包括
   A. RVEDVI
   B. CEDVI（容量测量改良肺动脉导管）
   C. ITBVI
   D. GEDVI（PiCCO）
 ->E. LVEF

155. 以下哪项是电复律和电除颤的并发症
 ->A. 急性肺水肿
   B. 气胸
   C. 血气胸
   D. 急性心肌梗死
   E. 频发室性期前收缩

156. 抗原抗体反应中，抗体过剩时的沉淀反应称为
 ->A. 前带
   B. 后带
   C. 带现象
   D. 等价带
   E. 前后带

157. 决定微循环营养通路周期性开闭的主要因素是
   A. 血管升压素
   B. 肾上腺素
   C. 去甲肾上腺素
   D. 血管紧张素
 ->E. 局部代谢产物

158. 23岁，初产妇，妊娠33周，晨起突然剧烈头痛伴喷射性呕吐。检查：血压160/110 mmHg，尿蛋白（+++）。治疗措施错误的是
   A. 静脉注射硫酸镁5 g后继续静脉滴注1小时
   B. 快速静脉滴注甘露醇
   C. 静脉注射地西泮
   D. 静脉注射地塞米松
 ->E. 即行剖宫产术

159. 发生毛细血管渗漏综合征的直接原因是
   A. 毛细血管血压增高
 ->B. 毛细血管通透性增高
   C. 淋巴回流受阻
   D. 血浆胶体渗透压增高
   E. 组织液胶体渗透压降低

160. 关于撤机前评价的指标，下列哪项是错误的
   A. 潮气量>5 ml/kg
   B. 自主呼吸频率<25次/分
   C. 最大吸气负压>25 cmH<sub>2</sub>O
 ->D. 静息每分钟通气量>5L
   E. 1秒用力呼气容积>10 ml/min

161. 关于胃肠激素的叙述，错误的是
   A. 由胃肠黏膜的内分泌细胞合成释放
   B. 调节消化腺分泌和消化道运动
   C. 调节其他激素的释放
   D. 具有促进消化道组织的代谢和生长的作用
 ->E. 胃肠道发现的肽不存在于其他系统的器官中

162. 肺动脉压反映的是
   A. 心脏功能
   B. 左心室后负荷
 ->C. 右心室后负荷
   D. 左室舒张末压力
   E. 左心室前负荷

163. 创伤性休克患者到达急诊室后，下列哪项首选
   A. 立即行X线、B超检查，明确伤情
   B. 剖腹探查，了解有无腹腔脏器损伤
 ->C. 建立静脉通道，补充足够血容量
   D. 应用血管活性药物
   E. 应用强心药

164. 永久性心脏起搏器术中并发症是
   A. 心律失常
   B. 急性心脏穿孔
   C. 空气栓塞
   D. 气胸
 ->E. 以上都是

165. 以下哪项不是肺栓塞的常见症状
   A. 不明原因的呼吸困难
   B. 晕厥
   C. 咳嗽
 ->D. 心绞痛
   E. 胸痛

166. 一般送检分离培养含病毒标本的最佳温度为
   A. 37℃
 ->B. 4℃
   C. 一20℃
   D. －70℃
   E. 25℃

167. B细胞的抗原识别受体是
   A. MHC-Ⅰ类分子
   B. MHG-Ⅱ类分子
   C. CD4分子
   D. CD8分子
 ->E. SmIg

168. 梗阻性休克的治疗原则是
 ->A. 针对发生原因进行有效处理
   B. 大剂量升压药的使用
   C. 大剂量的皮质激素的使用
   D. 尽早地补碱
   E. 常用晶体液进行复苏

169. 糖尿病酮症酸中毒出现严重失水的原因中，少见的是
   A. 高血糖引起渗透性利尿
   B. 大量酮体从肾、肺排出带走大量水分
   C. 大量酸性代谢产物排出，加重水分丢失
   D. 恶心、呕吐等胃肠道症状导致体液丢失
 ->E. 高热、大汗等引起体液丢失

170. 无二尖瓣狭窄时PAWP不能反映的是
 ->A. 肺动脉压
   B. 肺静脉压
   C. 左心房压
   D. 左心室舒张压
   E. 肺毛细血管压

171. 急性代谢性酸中毒时机体最主要的代偿方式是
   A. 细胞外液缓冲
 ->B. 呼吸代偿
   C. 细胞内缓冲
   D. 肾代偿
   E. 骨骼代偿

172. 医师在执业活动中有权出具相应的医学证明文件，“相应的”是指
 ->A. 在注册的执业范围内
   B. 在所在医疗机构的服务范围内
   C. 在医疗范围内
   D. 患者实事求是地提出要求的范围内
   E. 以上都不是

173. 胸外心脏按压时按压与回复的时间比为
 ->A. 1∶1
   B. 1∶2
   C. 2∶1
   D. 3∶1
   E. 1∶1.5
解析：胸外心脏按压时按压与回复的时间比为1∶1。

174. ICU患者发生重症感染的常见易感因素不包括
   A. 屏障功能受损
   B. 有创诊疗较多
   C. 平均年龄较高
 ->D. 易暴发SARS、H<sub>7</sub>N<sub>9</sub>等感染
   E. 内科合并症较多
解析：D项中SARS、H<sub>7</sub>N<sub>9</sub>不是ICU常见的病原微生物，因此不是ICU患者的易感因素。ABCE项均为ICU患者发生重症感染的常见易感因素。

175. 序贯器官衰竭评分的包括等级
   A. 3个
   B. 4个
 ->C. 5个
   D. 6个
   E. 7个

176. 急性乳腺炎多见于
   A. 中年孕妇
   B. 妊娠期
   C. 青年妇女
 ->D. 初产哺乳妇女
   E. 多胎分娩妇女哺乳期

177. 成人肾门平对
   A. 第11胸椎
   B. 第12胸椎
 ->C. 第1腰椎
   D. 第2腰椎
   E. 第3腰椎

178. 心肺复苏心脏按摩时，按压与放松时间之比应为
   A. 70％∶30％
   B. 60％∶40％
 ->C. 50％∶50％
   D. 40％∶60％
   E. 30％∶70％
解析：高质量的胸外按压要求以足够的速率和幅度进行按压，按压频率至少为100-120次/min；成人按压胸骨的幅度至少为5-6 cm，婴儿和儿童的按压幅度至少为胸部前后径的1/3（婴儿大约为4 cm，儿童大约为5 cm）。保证按压后胸廓回弹至原来位置，按压与放松时间之比50%：50%；尽可能减少胸外按压的中断，若中断也应将中断控制在10 s内

179. 关于活化凝血时间（ACT），下列描述不正确的是
 ->A. ACT是评价外源性凝血系统功能的指标
   B. 正常对照值1.14～2.05分钟
   C. 原理与试管法CT相同，但试验中加入白陶土脑磷脂混淆液加强Ⅻ和Ⅺ因子激活，比试管法敏感
   D. 临床常用于在体外循环中对肝素用量的监测
   E. ACT缩短可见于高凝早期

180. 开放性胸部损伤诊断的主要依据是
   A. 胸部皮肤裂伤
   B. 气管或食管裂伤
   C. 肋骨骨折刺破胸膜
 ->D. 胸壁创口与胸膜腔相通
   E. 开放性肋骨骨折

181. 关于胃酸生理作用的叙述，错误的是
   A. 激活胃蛋白酶原
   B. 有助于小肠对铁和钙的吸收
 ->C. 促进小肠维生素B<sub>12</sub>的吸收
   D. 杀死胃内细菌
   E. 排入十二指肠促进促胰液素的分泌

182. 机体内透细胞液是指
   A. 消化液
   B. 脑脊液
   C. 关节囊液
   D. 汗液
 ->E. 以上都是

183. 闭合气量和闭合容量可以反映
 ->A. 小气道功能
   B. 肺的储备容量
   C. 肺的换气功能
   D. 肺的通气/血流比值
   E. 大气道功能

184. 补体受体存在于下列哪种细胞表面
   A. B细胞
   B. 单核-巨噬细胞
   C. 中性粒细胞
   D. T细胞
 ->E. 以上均存在

185. 气管插管的并发症不包括
   A. 误入食管
   B. 声带损伤
   C. 单侧通气
 ->D. 气胸或纵隔气肿
   E. 一过性心律不齐

186. 分布性循环功能障碍基本机制为
   A. 循环容量丢失
   B. 心脏泵功能衰竭
 ->C. 血管收缩舒张调节功能异常
   D. 血流的主要通道受阻
   E. 心肌梗死

187. 以下哪项是低钾血症诊断标准
   A. 血清钾浓度<4.0 mmol/L
 ->B. 血清钾浓度<3.5 mmol/L
   C. 血清钾浓度<3.0 mmol/L
   D. 血清钾浓度<2.8 mmol/L
   E. 血清钾浓度<2.5 mmol/L

188. 预激综合征处理措施中属于禁忌的是
 ->A. 洋地黄
   B. 普罗帕酮
   C. 胺碘酮
   D. 射频消融术
   E. 心室率过快时，尽早电复律

189. 下列哪种药物不是心肺复苏时的首选药物
   A. 阿托品
 ->B. 5%NaHCO<sub>3</sub>溶液
   C. 肾上腺素
   D. 垂体后叶素
   E. 利多卡因

190. 应激时心血管变化中下列哪一项不存在
 ->A. 心收缩力减弱
   B. 心率加快
   C. 心律失常
   D. 血管收缩
   E. 心肌耗氧量增多

191. 关于感染性休克治疗过程中使用升压药错误的为哪项
   A. 如果充分的液体复苏仍不能恢复动脉血压和组织灌注，有指征应用升压药
   B. 去甲肾上腺素和多巴胺是纠正感染性休克低血压的首选升压药
 ->C. 可常规应用小剂量多巴胺，同时其对严重感染患者有肾脏保护作用
   D. 条件许可的情况下，应用升压药的患者均应留置动脉导管，监测有创血压
   E. 对经过充分液体复苏，并应用大剂量常规升压药，血压仍不能纠正的难治性休克患者，可应用血管加压素

192. 休克治疗时应遵循的补液原则是
   A. 失多少，补多少
   B. 宁少勿多
   C. 宁多勿少
 ->D. 需多少，补多少
   E. 血压变化不明显时可不必补液

193. 下列哪种细菌在溶菌酶作用下发生溶菌现象
 ->A. 葡萄球菌
   B. 淋病奈瑟菌
   C. 大肠埃希菌
   D. 沙门菌
   E. 变形杆菌

194. 属于单环β-内酰胺类的药物是
   A. 舒巴坦（青霉烷砜）
   B. 拉氧头孢
   C. 头孢曲松
   D. 哌拉西林
 ->E. 氨曲南

195. 中毒伴肾功能不全或昏迷患者不宜使用的方法是
   A. 吸氧
   B. 硫酸钠导泻
 ->C. 硫酸镁导泻
   D. 输液
   E. 洗胃

196. 关于呼气末CO<sub>2</sub>监测，下列错误的是
   A. 是主要反映肺泡通气功能的一项指标
   B. 静滴NaHCO<sub>2</sub>过快、过多可引起血中CO<sub>2</sub>突然升高，PetCO<sub>2</sub>增加
