1. 肾细胞癌的典型声像图特征是
 ->B. 精索睾丸鞘膜积液
   C. 睾丸炎性鞘膜积液
 ->D. 精索鞘膜积液
 ->E. 交通性鞘膜积液

408. 正常淋巴结的结构
 ->A. 淋巴结表面有一层被膜
 ->B. 淋巴结包括皮质和髓质，皮质的淋巴窦致密，髓质的淋巴窦疏松
   C. 淋巴结包括皮质和髓质，皮质的淋巴窦疏松，髓质的淋巴窦致密
 ->D. 淋巴液由皮质淋巴结→淋巴输入管→结内→淋巴窦→淋巴输出管→淋巴门
   E. 淋巴液由淋巴门→淋巴输入管→淋巴窦→结内→淋巴输出管→皮质淋巴结

409. 下列描述中，属于乳头状瘤特征的有
 ->A. 无痛性血性溢液，为鲜红色或棕褐色
 ->B. 部分病人在乳晕下可扪及肿块，质软，可活动，直径＜1 cm
 ->C. 超声显示乳晕下导管内可见中强回声团，呈砂粒样改变，近端导管扩张
 ->D. 乳腺导管造影，可证实圆形充盈缺损区
 ->E. 溢液细胞学检查，可找到瘤细胞

410. 下列急性阑尾炎的超声表现叙述正确的是
 ->A. 阑尾肿胀，体积增大是超声显像的基础
 ->B. 表现为一低回声的管状结构，阑尾的短轴断面呈卵圆形或不规则形状
 ->C. 阑尾管壁增厚，黏膜因炎症回声增强，呈现为管壁和腔内积液之间的一条线状强回声
 ->D. 彩色多普勒超声显示阑尾旁血流信号增多
   E. 阑尾肿大如团块状，壁间回声均匀，是阑尾炎症程度加重、坏疽或脓肿的表现

411. 下列关于血栓闭塞性脉管炎叙述正确的是
 ->A. 20～40岁青壮年男性多见，病程较长
 ->B. 主要侵犯中、小型动脉及其伴行的静脉（下肢多见）
 ->C. 二维超声显示病变处动脉内膜增厚、毛糙，正常部分与病变部分界限分明
 ->D. 伴行的静脉内膜可增厚或合并血栓
 ->E. 彩色多普勒显示动脉可存在闭塞或节段性狭窄

412. 下列符合双胎双顶径测量特点的有
 ->A. 双胎之间双顶径差应在4 mm之内
   B. 双胎之间双顶径的差应在1～2 mm之间
   C. 双胎之间双顶径差应在2 mm之内
 ->D. 双胎中甲胎比乙胎双顶径小6 mm，应认为甲胎宫内发育迟缓
 ->E. 双胎双顶径稍小于单胎双顶径

