1. 患者15岁，男性，自幼肌肉僵硬，张力高，随意运动出现局部强直，肌僵硬更明显，易疲劳无力，检查受累肌肉肥大，硬韧，机械刺激后产生持续性肌肉收缩，出现肌丘或局部肌肉凹陷。EMG检查呈强制性放电。超声检查见受累肌肉肥厚，肌束回声粗大，受刺激后肌肉强直收缩时更明显，肌腹呈条索样隆起，回声减低，其他肌肉无异常。最可能的诊断为
71. 患者，女性，54岁，无不适主诉。经胸超声心动图所示<img src="http://mvw-kaoshi.oss-cn-beijing.aliyuncs.com/upload/2016/12/86ca5d25c513446fa6379fbc2fb2460c.jpg "/>，右心房外可探及一无回声区，周围囊壁完整，应诊断为
   A. 急性心包炎
   B. 心包转移
 ->C. 心包囊肿
   D. 胸腔积液
   E. 心包肿瘤

72. 患者女性，24岁，既往月经规律，现停经41天，阴道不规则流血5天，剧烈腹痛1天，尿妊娠试验阳性。超声检查：盆腔偏右可见79 mm×61 mm形态不规则、无明显被膜、内有少量液性回声的低回声不均匀实质性占位，未见明显血流信号，盆腹腔少量积液。子宫稍饱满，内膜稍增厚，左附件未见明显异常。根据以上表现，最可能的诊断是
 ->A. 异位妊娠破裂
   B. 黄体破裂
   C. 卵巢囊肿蒂扭转
   D. 急性阑尾炎穿孔
   E. 巧克力囊肿破裂

73. 女性，39岁。突然头痛、心悸、呕吐、视力模糊就诊，血压160/120 mmHg。超声检查特征：右肾上腺区可见一3 cm大小边界清楚的低回声实性肿块。本病最有可能的诊断为
   A. 肾上腺皮质腺瘤
   B. 肾上腺血肿
 ->C. 肾上腺嗜铬细胞瘤
   D. 肾上腺神经母细胞瘤
   E. 肾上腺结核
解析：嗜铬细胞瘤的临床表现主要是由于儿茶酚胺分泌增多引起。大量儿茶酚胺作用于肾上腺素能受体引起。因此高血压为本病的主要症状。由于肿瘤间歇或持续分泌儿茶酚胺，故高血压表现为阵发性或持续性。肿瘤一般多呈圆形或椭圆形，边界清楚，直径一般在3～5 cm，内部为均匀的中等或弱回声。

74. 患儿，10个月，疑有心脏病，查体：胸骨左缘第2肋间可闻及连续性杂音，超声心动图显示降主动脉与左肺动脉之间有一管状回声，请指出以下哪项诊断最正确
   A. 房间隔缺损
   B. 室间隔缺损
 ->C. 动脉导管未闭
   D. 法洛四联症
   E. 肺动脉口狭窄

75. 患者，女性，32岁，因先天性主动脉瓣二瓣化并严重主动脉瓣反流行主动脉瓣置换术，术后被诊断为瓣膜不匹配，诊断的基础是
   A. 为一个有药物滥用史的病人更换机械瓣
 ->B. 为病人置入的瓣膜太小
   C. 为病人置入的瓣膜太大
   D. 为病人置入生物瓣
   E. 以上都不正确

76. 患者45岁，女性，颈前下方肿物数年，近一个月肿物迅速增长伴声音嘶哑；查体：该肿物质地坚硬，表面凹凸不平，随吞咽移动性差；超声检查见甲状腺内大小15×20 mm的实质不均质回声团块，边界不规则，无包膜，内部可见大小不一的无回声区，内有乳头状突起，并可见强回声光团。最可能的诊断为
   A. 甲状腺滤泡状腺癌
 ->B. 甲状腺乳头状腺癌
   C. 甲状腺转移性癌
   D. 甲状腺髓样癌
   E. 以上都不是

77. 患者女性，30岁，哺乳期发现双乳肿块，超声显示双乳内各有数个大小不等的无回声区，边界光滑，后方回声增强，最可能是
   A. 乳腺炎
   B. 乳腺脓肿
 ->C. 乳腺囊肿
   D. 乳腺增生
   E. 乳腺腺瘤

78. 男性，32岁。突发性左季肋部绞痛4小时，无发热。实验室检查：血常规正常，尿常规：红细胞15～25个。超声检查见左肾集合系统轻度分离，该侧输尿管上段约1.0 cm，其远侧段显示不清。该病例首先考虑是
   A. 肾癌
   B. 急性肾小球肾炎
 ->C. 输尿管结石
   D. 急性肾盂肾炎
   E. 肾平滑肌脂肪瘤

79. 患者女，心脏超声检查发现左房间隔接近卵圆窝处一团状中强回声，内回声欠均质，直径4cm，收缩期位于左房内，舒张期脱至二尖瓣口。可能的诊断是
   A. 左房内血栓
   B. 左房纤维瘤
 ->C. 左房粘液瘤
   D. 二尖瓣赘生物
   E. 左房心机肉瘤
解析：左房粘液瘤的蒂附着于房间隔，舒张期瘤体随血流到达二尖瓣口，阻塞二尖瓣口，收缩期又回到左房

80. 患者男性，45岁。因左上腹及锁骨上淋巴结肿大就诊，经淋巴结活检确诊为非霍奇金淋巴瘤，超声见脾脏增大，内可见小而弥漫的低回声小结节，最可能的诊断是
   A. 脾血管内皮肉瘤
   B. 脾血管瘤
 ->C. 脾脏恶性淋巴瘤
   D. 脾梗死
   E. 脾错构瘤

81. 患者，男性，64岁，近日出现胸闷。经胸超声心动图所示<img src="https://exam.mvwchina.com/upload/2016/12/499258096b64454ea639c2c4808130de.jpg "/>，左冠状动脉主干增宽，8.5 mm，CDFI显示肺动脉内可探及全舒张期蓝彩血流信号，流速/压差为1.7/12，该患者应诊断为
   A. 动脉导管未闭
   B. 室间隔缺损
 ->C. 冠状动脉肺动脉瘘
   D. 主肺动脉瘘
   E. 房间隔缺损

82. 中年男性患者，乙肝病史十余年，超声检查显示肝实质回声增强，光点粗大，右叶近边缘处实质内有一0.8 cm×0.9 cm大小的强回声结节，无晕征，无明显包膜，无对周围血管挤压等肿瘤效应。最可能的诊断是
 ->A. 肝硬化结节
   B. 肝腺瘤
   C. 肝内局限性脂肪沉积
   D. 肝血管瘤
   E. 小肝癌
解析：强回声结节，无晕征，无明显包膜，无对周围血管挤压等肿瘤效应，考虑硬化结节。

83. 患者，女，13岁，心脏超声诊断为左侧三房心，以下病理解剖及超声表现描述错误的是
   A. 左房内见异常隔膜回声
   B. 肺静脉内径增宽
   C. 可并存房间隔缺损
   D. 副房接受部分或全部肺静脉血流
 ->E. 副房与左心耳、二尖瓣相连通，通过狭小的口与真性左房交通

84. 患者，男性，24岁，查体：无特殊不适，听诊可闻及Ⅱ级杂音。经胸超声心动图所示，左心室舒末径46 mm，右心室侧径34 mm，室水平未探及过隔血<img src="https://exam.mvwchina.com/upload/2016/12/eb25ce105a4e49db81e8371b1b56e546.jpg "/>，则该患者应诊断为
   A. 该患者可能存在小的室间隔缺损
   B. 主动脉窦瘤破裂
 ->C. 该患者存在室间隔膜部瘤
   D. 主动脉瓣关闭不全
   E. 以上都不正确

85. 患者女性，18岁，无月经来潮，因周期性腹痛就诊，无发热。超声检查：子宫体正常，子宫下方相当于阴道位置可见82 mm×53 mm边界清楚，椭圆形液性暗区，内透声不好，有较多细弱回声光点。可能的诊断为
   A. 卵巢囊肿
   B. 盆腔脓肿
   C. 巧克力囊肿
 ->D. 处女膜闭锁
   E. 盆腔包裹性积液

86. 患者，男，25岁，剧烈活动后感心慌、胸闷，心前区听诊为连续性杂音，超声心动图见右冠状动脉窦呈囊袋样向右室流出道膨出，彩色多普勒探及穿过囊壁的高速紊乱的血流信号，最有可能的诊断是
   A. 动脉导管未闭
   B. 室间隔缺损
   C. 右冠状动脉窦瘤
 ->D. 右冠状动脉窦瘤破裂
   E. 右冠状动脉瘘

87. 患者男，46岁，超声体检发现左肾病变，呈圆形，边界清晰，整齐光滑，直径1.0cm，肿物内为无回声，后方回声明显增强。根据声像图特征，诊断是
 ->A. 肾囊肿
   B. 肾囊肿合并感染
   C. 肾囊肿合并出血
   D. 肾脓肿
   E. 以上均不正确
解析：囊肿的声像图特征：外形呈圆形或椭圆形，边界清晰，光滑整齐，内部为无回声，后方回声增强显著，有侧方声影；实性肿瘤的特征：外形不定，可呈圆形、椭圆形、分叶状或不规则，边界回声不定，内部有回声，后方无回声增强或增强不显著，侧方声影可有可无；囊肿合并感染或出血及脓肿时，内部可以出现回声。

88. 患者男性，14岁。平时无症状，查体发现胸骨左缘可闻及Ⅱ级收缩期吹风样杂音，超声心动图检查见前乳头肌与室间隔之间有一条索状回声，请结合病史和查体指出哪项最正确
   A. 风心病二尖瓣狭窄
   B. 动脉导管未闭
 ->C. 左心室假腱索
   D. 法洛四联症
   E. 扩张型心肌病

89. 患者，男性，39岁，2周前发热、流涕、全身乏力，5d后体温正常，近日胸痛、呼吸困难伴下肢水肿就诊。经胸超声心动图所示<img src="https://exam.mvwchina.com/upload/2016/12/93fc9eed15e14941808394d9fe4d15e0.jpg "/>，左心室舒张末期容积为160 ml，左心室收缩末期容积为122 ml，下列选项正确的是
   A. 该类患者很少需要心脏移植
   B. 罕见的遗传病
 ->C. 两周前可能发生A型流感
   D. 血管紧张素转化酶抑制药和β受体阻滞药不能改善预后
   E. 以上都不正确

90. 患者，男性，40岁，二维超声心动图发现室间隔运动异常，心功能正常；其心电图显示为左束支传导阻滞（LBBB）。下列哪个选项是关于LBBB时室壁运动的正确描述
   A. 心肌肥厚
 ->B. 室壁运动异常主要在前间隔的基底段和中段
   C. 二维超声成像能最准确识别左束支传导阻滞时室壁运动情况
   D. 以上都不正确

91. 患者男性，43岁，上腹不适伴脂肪泻反复发作，超声显示胰腺体积缩小，边缘不规则，实质回声增强，不均匀，主胰管呈串珠状扩张，内见强回声伴声影，超声诊断考虑为
 ->A. 慢性胰腺炎
   B. 急性胰腺炎
   C. 胰腺结核
   D. 胰腺囊腺瘤
   E. 胰腺癌

92. 患者，男，65岁，超声检查见颈总动脉壁内膜分离，将血管分成真假两个腔，分离的内膜回声随心动周期不停地摆动。彩色多普勒超声见真腔内血流大致正常，假腔内血流紊乱，呈五彩镶嵌样表现，请就此超声表现作出诊断
   A. 真性颈动脉瘤
   B. 假性颈动脉瘤
 ->C. 夹层颈动脉瘤
   D. 颈动脉扭曲
   E. 颈动脉体瘤

93. 患者，女性，48岁，呼吸困难，心电图显示心率150次/分，为心房扑动合并2：1房室传导，超声心动图显示全心扩大和中至重度的双心室收缩功能障碍。诊断为心肌病，下列选项中正确的是
   A. 此型心肌病是最不可逆转
 ->B. 射频消融治疗心房扑动，可改善心室收缩功能
   C. 特发性扩张型心肌病不在鉴别诊断之中
   D. 电复律法对这类型的患者没有任何帮助
   E. 以上都不正确

94. 患者男，40岁，右侧腮腺发现包块1年，无临床症状，临床诊断腮腺混合瘤，其超声特征，哪一项是不正确的
 ->A. 从不囊性变
   B. 形态规则，呈圆形
   C. 内部呈低回声区
   D. 肿瘤轮廓完整
   E. 内部如有钙化，考虑恶性变

95. 患者男性，45岁。因左上腹及锁骨上淋巴结肿大就诊，经淋巴结活检确诊为非霍奇金淋巴瘤，超声见脾脏增大，内可见小而弥漫的低回声小结节，最可能的诊断是
   A. 脾血管内皮肉瘤
   B. 脾血管瘤
 ->C. 脾脏恶性淋巴瘤
   D. 脾梗死
   E. 脾错构瘤

96. 女性，65岁，自述绝经10年，不规则阴道出血半个月，二维超声检查见宫腔分离，子宫内膜增厚。可提示为
 ->A. 子宫内膜癌
   B. 子宫颈癌
   C. 宫腔积液
   D. 子宫内膜息肉
   E. 子宫内膜积血

97. 患者，男，46岁，超声体检发现左肾病变，呈圆形，边界清晰，整齐光滑，直径1.0 cm，肿物内为无回声，后方回声明显增强。根据声像图特征，诊断是
 ->A. 肾囊肿
   B. 肾囊肿合并感染
   C. 肾囊肿合并出血
   D. 肾实性肿瘤
   E. 以上均不正确

98. 患者男性，68岁，一个月前无明显诱因出现尿黄、腹胀、腹痛。超声示肝内未见明显占位，肝内胆管扩张，胆囊增大，胆总管内径2.5 cm，末端可见2.2 cm×1.5 cm的低回声，形态不规整，胰腺未见明显异常，下述说法不正确的是
   A. 该患者为梗阻性黄疸
   B. 胆总管下段癌和壶腹癌在声像图上鉴别困难
   C. 根据胆管扩张的范围一般可做出梗阻部位的判断
   D. 胆囊不一定均增大
 ->E. 胆总管扩张则一定存在梗阻

99. 患者男性，30岁，体检时，腮腺的超声表现是：两侧对称，表面光滑，回声均匀，其中见一管状结构，最可能是
   A. 腮腺炎
 ->B. 正常腮腺
   C. 腮腺导管扩张
   D. 先天性异常
   E. 腮腺囊肿

100. 患者，女，37岁，孕4产1，下腹部及腰骶部疼痛约6年，临床诊断盆腔静脉淤血综合征，申请超声检查，下述各项不支持该诊断的是
   A. 大多数发生在30～50岁的经产妇
   B. 是由多种因素引起的盆腔静脉血管充血、扩张和淤血所致的综合征
   C. 是引起妇科慢性疼痛的重要原因之一
   D. 声像图主要表现为子宫旁串珠状或蜂窝状无回声区，呈红、蓝相间血流
 ->E. 频谱为连续、高速、搏动性波形

101. 患者，男性，30岁，临床拟诊急性胆囊炎，声像图表现下列哪一项有特异性
   A. 胆囊壁增厚
   B. 胆囊增大
   C. 合并胆囊结石
   D. 胆囊内出现细小回声点
 ->E. 胆囊壁增厚合并超声Murphy征阳性
解析：Murphy征对急性胆囊炎的诊断十分重要。

102. 患者男，4岁，先天性心脏病来我院就诊，以下二维超声表现符合原发性房间隔缺损的是
 ->A. 显示房间隔最低位处（房、室间隔连接处）缺损
   B. 显示左心室扩大
   C. 显示房间隔最上部（近心房顶部处）缺损
   D. 显示室间隔上段缺损
   E. 显示房间隔中央部缺损

103. 患者，男性，40岁，二维超声心动图发现室间隔运动异常，心功能正常；其心电图显示为左束支传导阻滞（LBBB）。下列哪个选项是关于LBBB时室壁运动的正确描述
   A. 心肌肥厚
 ->B. 室壁运动异常主要在前间隔的基底段和中段
   C. 二维超声成像能最准确识别左束支传导阻滞时室壁运动情况
   D. 以上都不正确

104. 男性，25岁。左腰痛2小时伴镜下血尿。超声检查显示左肾盂及左输尿管上段轻度积水，其下端见强回声团伴声影。提示诊断是
   A. 左输尿管囊肿
 ->B. 左输尿管结石
   C. 左输尿管肿瘤
   D. 左输尿管狭窄
   E. 以上都不是

105. 患者男性，48岁，胸痛，晕厥，乏力，呼吸困难，主动脉瓣听诊区闻及收缩期粗糙响亮的喷射性杂音，超声心动图诊断为主动脉瓣狭窄，其超声表现不包括
   A. 主动脉瓣增厚，回声增强
   B. 左室壁肥厚
   C. 主动脉瓣开放受限
   D. 主动脉瓣钙化
 ->E. 二尖瓣舒张期震颤波
解析：当主动脉瓣关闭不全时，其舒张期反流的血流束击打在开放的二尖瓣前叶上，才出现二尖瓣前叶舒张期的细震颤波。

106. 女性，52岁，停经一年半，数月来分泌物增多，近一周阴道出血，偶感下腹疼痛，超声检查见子宫形态及大小正常，内膜薄厚不均，最厚处约1.6 cm，边缘不规则， CDFI:其内可见较丰富血流信号，宫腔下端可见液性暗区，深约0.5 cm，诊断何种疾病
   A. 子宫内膜增生过长
   B. 子宫肌瘤变性
 ->C. 子宫内膜癌
   D. 子宫黏膜下肌瘤
   E. 子宫内膜息肉

107. 患者女，26岁，停经一个半月，有时恶心，呕吐。经腹盆腔超声检查发现：子宫纵断时腔内发现一个妊娠囊，横断时发现双孕囊。最可能是以下哪种伪像所致
   A. 镜面伪像
   B. 侧边折射声影伪像
   C. 声速失真伪像
 ->D. 棱镜伪像
   E. 主声束以外旁瓣伪像
解析：根据题干描述，此伪像发生在腹部正中线横断面扫查时，纵切面时的一个妊娠囊变成横断时的双孕囊，此现象系棱镜伪像所致。

108. 一患者因黄染一周就诊。超声示肝脏肿大，回声增强，肝内胆管树枝状扩张，肝外胆管未显示，胆囊未充盈，其梗阻部位最可能为
