1. 烧伤后引起气性坏疽的致病菌是
89. 原因不明的颈部淋巴结肿大，以下不必要的检查是
   A. X线胸片
   B. 甲状腺、鼻咽部、喉部检查
   C. 淋巴结活检
   D. 血常规、血沉
 ->E. 肿瘤标志物

90. 下列阑尾类癌的临床特点中，错误的是
   A. 胃肠道类癌中最常见的一种，70%～90%的阑尾类癌＜l cm
 ->B. 主要在阑尾黏膜层生长，不会发生转移
   C. 临床无明显症状，常以急性阑尾炎在术中或术后发现，预后较其他部位类癌好
   D. 起源于Lieberkuhn隐窝的Kultschitzky细胞内颗粒对银具很强亲和力，能分泌5-羟色胺
   E. 多数为良性，肿瘤仅限于阑尾黏膜下层，无浆膜转移，恶性者直径＞2 cm

91. 下列哪项为阑尾切除术后最常见的并发症
   A. 出血
 ->B. 切口感染
   C. 粘连性肠梗阻
   D. 阑尾残株炎
   E. 粪瘘
解析：阑尾切除术后最常见的并发症是切口感染。故B选项正确。

92. 胃、十二指肠溃疡穿孔非手术治疗的适应证是
   A. 顽固性溃疡穿孔
 ->B. 单纯性小穿孔
   C. 空腹穿孔
   D. 伴有瘢痕性幽门梗阻
   E. 伴有大出血

93. Reynolds五联征是指
 ->A. 腹痛、发热、黄疸、血压下降、意识改变
   B. 腹胀、发热，黄疸，疼痛休克、烦躁不安
   C. 腹泻、发热，腹痛，呼吸深快、尿量减少
   D. 发热，腹痛，呕吐、黄疸加深、肝功受损
   E. 腹痛，发热，黄疸、意识改变、血压下降

94. 以下哪一项不属于甲状腺手术并发症
   A. 声音嘶哑
   B. 饮水呛咳
   C. 手足麻木
   D. 呼吸困难
 ->E. 呕吐
解析：甲状腺手术常见并发症有声音嘶哑、饮水呛咳、手足麻木、呼吸困难。

95. 关于原发性甲状旁腺功能亢进的手术治疗方式，下列选项错误的是
   A. 甲状旁腺腺瘤切除腺瘤
   B. 甲状旁腺增生行甲状旁腺次全切除
   C. 甲状旁腺增生也可切除所有4枚甲状旁腺，同时做自体移植
 ->D. 甲状旁腺增生也可行甲状腺全切除术
   E. 甲状旁腺癌应整块切除，包括一定范围正常组织

96. 下列选项中，不属于腹腔镜胆囊切除术并发症的是
   A. 胆管损伤
   B. 胆瘘
   C. 术中或术后出血
 ->D. 食管壁损伤
   E. 胃肠道损伤

97. 乳腺癌发生腰椎转移的主要途径是
   A. 经腋窝淋巴系统
   B. 经肺循环静脉系统
   C. 经门静脉系统
   D. 经胸导管系统
 ->E. 经椎旁静脉系统

98. 脾脏体积增大（脾大）是脾脏疾病的主要表现，其病因中不包括
   A. 免疫反应所致反应性脾大
   B. 红细胞破坏所致反应性脾大
   C. 充血性脾大
 ->D. 创伤性脾大
   E. 骨髓增生性脾大或浸润性脾大

99. Charcot三联征是指
   A. 发热，腹胀，腹痛
   B. 发热，黄疸，腹胀
   C. 发热，腹痛，腹泻
   D. 发热，腹痛，呕吐
 ->E. 发热，腹痛，黄疸

100. 重度烧伤休克期出现烦躁不安，首要的处理措施是
   A. 镇静
   B. 止痛
 ->C. 补充血容量
   D. 抗感染
   E. 纠正酸碱平衡紊乱

101. 按照四度五分法，烧伤深度分为
   A. Ⅰ（浅Ⅰ、深Ⅰ）、Ⅱ度、Ⅲ度、IV度
 ->B. Ⅰ、Ⅱ度（浅Ⅱ度、深Ⅱ度）、Ⅲ、Ⅳ
   C. Ⅰ、Ⅱ度、Ⅲ度（浅Ⅲ度、深Ⅲ度）、Ⅳ度
   D. Ⅰ、Ⅱ度、Ⅲ度、Ⅳ（浅Ⅳ度、深Ⅳ度）
   E. Ⅰ、Ⅱ度、Ⅲ度、Ⅳ度

102. 哪项不是甲状腺肿大的手术指征
   A. 继发甲状腺功能亢进（Plummer病）
   B. 胸骨后甲状腺肿
 ->C. 2 cm结节
   D. 怀疑结节有恶变
解析：单纯结节大小不是手术指征。

103. 恶性肿瘤是原发于胃壁淋巴滤泡的恶性肿瘤，关于其临床特点，下列错误的是
   A. 多见于胃体、胃窦部、小弯侧和胃后壁
   B. 临床表现和胃癌相似
   C. 采取手术、化疗为主的综合治疗
   D. 预后与肿瘤大小、浸润范围、组织类型以及治疗方式有关
 ->E. 胃B细胞性恶性淋巴瘤恶性程度高，预后差

104. 关于肛管直肠周围脓肿的手术治疗，下列选项正确的是
   A. 坐骨肛管间隙脓肿多采用放射状切口
   B. 切口选在位置最高处
 ->C. 切开引流+挂线术可有效预防肛瘘的发生
   D. 不要分开脓腔内纤维隔，以免损伤括约肌
   E. 为避免损伤括约肌，手术切口尽可能小

105. 以下选项中，不符合结肠癌临床症状的是
   A. 排便习惯和粪便性状改变
 ->B. 间歇性腹痛伴暖气
   C. 腹部包块
   D. 肠梗阻表现
   E. 贫血、消瘦

106. 有关门静脉高压症的病理变化特点，下列错误的是
   A. 门静脉血流阻力增加是门静脉高压症的常见始动因素
   B. 门静脉无静脉瓣，压力通过血流量和流出阻力形成并维持
   C. 分为肝前型、肝内型和肝后型
   D. 肝内型又分为窦前型、窦后型和窦型
 ->E. 再生的肝细胞和增生的纤维压迫肝窦，是导致门静脉压力升高的唯一因素

107. 下腔静脉膜性梗阻型布-加综合征的治疗方法中错误的是
   A. 下腔静脉球囊扩张术
   B. 下腔静脉-下腔静脉架桥术
   C. 下腔静脉-右心房架桥术
   D. 病变隔膜切除术
 ->E. 脾静脉-颈内静脉人工血管架桥术
解析：脾静脉-颈内静脉人工血管架桥术是将脾静脉的血液分流入下腔静脉，目的在于缓解门静脉高压，对下腔静脉高压意义不大。

108. 机械性肠梗阻出现的阵发性绞痛的原因是
   A. 梗阻近端肠管的膨胀
 ->B. 梗阻近端肠管的阵缩
   C. 梗阻肠段神经受压
   D. 肠腔渗出液刺激
   E. 上述因素都不是
解析：机械性肠梗阻出现的阵发性绞痛的原因是梗阻近端肠管的阵缩。

109. 急性胆管炎的最常见的致病菌是
   A. 肠球菌属
   B. 假单孢菌属
 ->C. 大肠埃希氏菌
   D. 克雷伯杆菌属
   E. 绿脓杆菌
解析：急性胆管炎最常见的致病菌是来源于肠道的大肠埃希氏菌。

110. 烧伤创面外用药横胺米隆的常用浓度为
   A. 0.5%～1%
   B. 1%～5%
 ->C. 5%～10%
   D. 15%～20%
   E. 20%～30%

111. 关于胰腺的淋巴回流，下列错误的是
   A. 胰头的淋巴注入胰十二指肠上、下淋巴结
   B. 胰体的淋巴分别注入胰上淋巴结和胰下淋巴结
   C. 胰尾的淋巴汇入脾门淋巴结
   D. 各淋巴结最后注入腹腔淋巴结和肠系膜上淋巴结
 ->E. 胰腺的淋巴引流一般并不丰富，故胰腺癌发生淋巴结转移晚

112. 临床诊断胆道蛔虫症的主要依据是
 ->A. 阵发性上腹剑突下剧烈钻顶样绞痛，而体征轻微
   B. 钡餐检查见到十二指肠内蛔虫阴影
   C. ERCP胆道造影，发现胆管内有虫体条状影
   D. 十二指肠引流液镜检查到虫卵
   E. B型检查见胆道内蛔虫平行双边影像图
解析：胆道蛔虫：1.儿童、青少年多见，常有驱蛔虫史。2.突然阵发性上腹钻顶样痛，间歇期宛如常人。3.绞痛时伴恶心、呕吐，可吐蛔虫。4.后期有胆管炎及各种并发症表现。5.腹肌软，仅有剑突下或右上腹深压痛。6.间歇期无体征。7.症状剧烈，但体征轻微，症征不符为本病特点。该病以儿童和青年人多见。主要症状是腹痛 ，可以突然发生剧烈的上腹部疼痛，呈阵发性，持续一定时间后可自行缓解，间隙期可以完全不痛。常可伴恶心、呕吐，常见有吐出蛔虫者。静脉胆道造影、内窥镜逆行胰胆管造影或经 T型管胆管造影、 B型超声等检查 ，对本病的诊断有一定帮助。

113. 下列消化道穿孔的临床表现中，不正确的是
   A. 突然剧烈腹痛，呕吐
 ->B. 必患有胃十二指肠溃疡
   C. 压痛、反跳痛、腹肌紧张
   D. 肠鸣音减弱或消失
   E. 多数立位X线检查可见膈下游离气体

114. 动脉栓塞的栓子最常见的来源是
   A. 血管源性
 ->B. 心源性
   C. 肺源性
   D. 医源性
   E. 免疫源性

115. 下列腹股沟管的解剖特点中，错误的描述是
   A. 下壁为腹股沟韧带和陷凹韧带
 ->B. 上壁为腹外斜肌弓状缘
   C. 内口即内环，是腹横筋膜的裂隙
   D. 后壁是腹横筋膜及腹膜
   E. 男性内有精索，女性有子宫圆韧带
解析：腹股沟管的解剖结构为：腹股沟管内环是腹横筋膜的卵圆形裂隙；外环是腹外斜肌腱膜的三角形裂隙；前壁为腹外斜肌腱；后壁为腹横筋膜和腹膜；上壁为腹横腱膜弓（联合肌腱）；下壁为腹股沟韧带和陷窝韧带。

116. 关于肝脏的血供，下列选项不正确的是
   A. 正常肝血流量每分钟为1500 ml，占心排血量的20%～40%
   B. 肝是全身唯一双重血流供应的器官
   C. 全肝60%～80%的血供来自门静脉
   D. 20%～40%来自肝动脉
 ->E. 门静脉血流增加，肝动脉血流也相应 增加

117. 关于小儿烧伤休克期脑水肿的发病原因，下列选项不正确的是
   A. 补液不当
   B. 缺氧
 ->C. 血脑屏障通透性降低
   D. 酸中毒
   E. 头颈部深度烧伤压迫，静脉回流障碍

118. 下列胃肠间质瘤的手术治疗原则中，错误的是
   A. 最大径线超过2 cm的局限性胃肠间质瘤，原则上可行手术切除
   B. 胃间质瘤可采取胃部分切除或全胃切除
   C. 十二指肠的间质瘤可做局部切除或Whipple手术
   D. 小肠、结肠间质瘤可采取肠部分切除术
 ->E. 其发生淋巴结转移较早，手术应常规广泛淋巴结清扫

119. 下列肝囊肿外科治疗的术式选择中，不正确的是
   A. 单发及多发性囊肿，可行囊肿开窗术，操作简便、疗效较好
   B. 带蒂囊肿、肝左外叶巨大囊肿、囊肿出血者，可行肝叶或肝段切除
   C. 多发性肝囊肿彻底治疗仍较困难，可行部分肝切除缓解症状
   D. 晚期多囊肝合并多囊肾，肝肾衰竭者，可行肝肾联合移植术
 ->E. 单发性囊肿一经确诊，可行局部或肝段切除

120. 关于脾破裂脾切除术的适应证，下列选项不正确的是
   A. 全脾破碎无法修补者
 ->B. 腹腔内出血量达1500 ml者
   C. 脾脏血管完全断裂，失去血供者
   D. 合并腹内脏器损伤，生命征不稳定，需尽快止血结束手术者
   E. 缝合术等不能有效止血或失败者

121. 按国内通用补液公式，第1个24小时补液量：成人每1%Ⅱ、Ⅲ度烧伤面积每Kg体重补充晶体液应为
   A. 3.0 ml
 ->B. 1.0 ml
   C. 1.5 ml
   D. 0.5 ml
   E. 2.5 ml

122. 有关胰腺假性囊肿的临床诊断要点，下列不正确的是
   A. 急性胰腺炎或上腹部外伤后上腹逐渐膨隆，腹胀
   B. 压迫胃、十二指肠引起恶心、呕吐，影响进食
   C. 上腹部触及半球形、光滑、不移动、有囊性感的肿物
 ->D. 实验室检查肝脏功能异常
   E. B超或CT检查有助诊断与鉴别诊断

123. 大面积烧伤后48小时内最主要的并发症是
   A. 创伤性休克
   B. 毒血症
   C. 脓毒症
   D. 急性肾衰竭
 ->E. 低血容量性休克

124. 腹股沟斜疝与直疝在解剖上的主要区别是
   A. 斜疝疝囊颈在腹壁下动脉外侧，直疝在内侧
 ->B. 斜疝压迫内环妬块不再突出，直疝仍可突出
   C. 斜疝与腹横筋膜薄弱有关，直疝与腹壁肌肉薄弱有关
   D. 斜疝疝囊在精索后方，直疝在前外方
   E. 斜经腹股沟管突出，可进入阴囊，直疝由直疝三角突出，不进入阴囊

125. 有关急性腹膜炎的临床特点，下列选项错误的是
   A. 多为继发性，腹内脏器病变、穿孔、感染和炎症、外伤、出血为主要病因
   B. 可发展为弥漫性腹膜炎、形成腹腔脓肿、合并肠麻痹、造成体液代谢紊乱
 ->C. 主要为阵发性腹痛，持续性腹胀，伴食欲缺乏
   D. 腹膜刺激征可表现为全腹性和局部性，在原发病灶处尤甚
   E. 可采取保守治疗和手术治疗，大多数需急诊手术

126. 下列哪项为阑尾切除术后最常见的并发症
   A. 出血
 ->B. 切口感染
   C. 粘连性肠梗阻
   D. 阑尾残株炎
   E. 粪瘘
解析：阑尾切除术后最常见的并发症是切口感染。故B选项正确。

127. 以下哪项不是胰腺癌的常见症状体征
 ->A. 呕血、黑便
   B. 上腹隐痛
   C. 消瘦
   D. 皮肤巩膜黄染
解析：胰腺癌一般不出现消化道出血表现，但当累及十二指肠或造成门静脉闭塞后门脉高压时偶尔可出现消化道出血。

128. 下列甲状旁腺的解剖学特点，错误的是
 ->A. 主要由大量的嗜酸性细胞和少量主细胞组成，嗜酸性细胞分泌甲状旁腺素
   B. 紧附于甲状腺两叶左右两叶背面，通常为4枚，呈卵圆形扁平形
   C. 上甲状旁腺多位于喉返神经与甲状腺下动脉交叉上方1 cm处，直径约2 cm的区域内
   D. 下甲状旁腺多位于甲状腺下、后、侧方
   E. 上甲状旁腺由甲状腺上或下动脉供血，下甲状旁腺由甲状腺下动脉供血
解析：甲状旁腺主要由大量的主细胞、少量的嗜酸性细胞和基质组成，主细胞分泌甲状旁腺素，嗜酸性细胞可能是老化的主细胞，正常情况下无分泌功能。

129. 食管胃底静脉曲张破裂大出血时，首先宜采取的治疗措施是
 ->A. 紧急三腔二囊管压迫止血
   B. 急诊贲门周围血管离断术
   C. 急诊脾切除术
   D. 急诊经颈静脉肝内门体分流术
   E. 急诊远端脾-肾静脉分流术

130. 血栓闭塞性脉管炎的病变主要位于
   A. 中小动静脉，以静脉为主
   B. 中小动脉
 ->C. 中小动静脉，以动脉为主
   D. 大、中动脉
   E. 小动静脉，而不发生于中动静脉

131. 烧伤患者开始浸浴的时机一般在
   A. 伤后48小时
   B. 伤后1周
 ->C. 伤后2周
   D. 伤后1个月
   E. 以上都不对

132. 有关腹腔镜胆囊切除术的适应证，下列选项错误的是
 ->A. 无症状的胆囊疾病
   B. 有症状的胆囊疾病
   C. 无功能的胆囊疾病
   D. 伴有糖尿病的无症状胆囊疾病
   E. 无症状的单发胆囊息肉，直径＞1.0 cm

133. 下列选项中，不符合急性胰腺炎手术适应证的是
 ->A. 急性水肿性胰腺炎腹痛明显者
   B. 胰腺及胰周坏死组织继发细菌感染者
   C. 经合理支持治疗，而临床症状继续恶化者
   D. 经24小时非手术治疗，多器官功能障碍仍不能得到纠正者
   E. 胆源性胰腺炎或合并肠瘘或胰腺假性囊肿者

134. 关于溃疡性结肠炎的临床特点，下列选项错误的是
   A. 一种原因不明的大肠慢性炎性疾病，病变主要局限于大肠的黏膜层和黏膜下层
   B. 最常累及直肠和乙状结肠，少数可累及全结肠和回肠末端
 ->C. 病变多沿黏膜层和黏膜下层浸润，直至侵犯到浆膜外
   D. 主要表现为黏膜广泛充血、水肿、糜烂、出血和溃疡形成
   E. 除一般消化系统症状外，常有结节性红斑、关节炎、眼部病变等肠道外表现

135. 胆道蛔虫病的典型表现中，下列哪一项是错误的
   A. 右上腹“钻项样”剧烈疼痛
   B. 突然发病，突然缓解
   C. 常伴有上腹部肌紧和反跳痛
 ->D. 常有蛔虫呕出
   E. 可伴有黄疸
解析：胆道蛔虫病很少有蛔虫呕出的表现。

136. 对消化道大出血最有价值的诊断方法是
   A. 临床观察判定
   B. 稀钡检查
   C. 红细胞比容测定
   D. 凝血因子的检查
 ->E. 急诊内镜检查
解析：临床观察无法准确判断出血部位和原因。故本选项错误。稀钡检查因有加重休克、刺激出血的不良反应，不作为急性出血期的常规检查。故本选项错误。红细胞比容测定无法帮助判断出血部位和原因。故本选项错误。凝血因子的检查无法帮助判断出血部位和原因。故本选项错误。急诊内镜检查可直接探明出血部位和原因，并可进行止血治疗。故本选项正确。
