1. 女性，60岁。腹痛、呕吐及肛门停止排气排便3天。查体：腹胀可见肠型，全腹有压痛。腹部X线片：肠管扩大，可见多个液平面。应选何种治疗
81. 男性，45岁。上腹痛伴恶心呕吐12小时，吐后疼痛不减轻。查体：T38℃。上腹部压痛。实验室检查：白细胞15×10<sup>9</sup>/L，血淀粉酶560索氏单位，尿淀粉酶256索氏单位。首先要考虑的诊断是
 ->A. 急性胰腺炎
   B. 急性胆囊炎
   C. 急性胃炎
   D. 急性肠系膜淋巴结炎
   E. 溃疡穿孔

82. 患者女，30岁。右上肢开水烫伤1小时。查体：右上肢散在小水疱，部分表皮脱落，创基红白相间，感觉迟钝。临床诊断为深Ⅱ度烫伤。在不感染的情况下，需多长时间可以痊愈
   A. 1～2周
   B. 1周内
   C. 2～3周
 ->D. 3～4周
   E. 4～6周
解析：从查体上看，推断为深Ⅱ度创面，无感染情况下，3～4周可愈合。

83. 女性，5岁。腹部外伤，手术探查发现脾下极有一3 cm裂伤，深1.0 cm。手术方式宜采取
   A. 脾下极切除术
   B. 脾切除术
 ->C. 脾修补术
   D. 脾动脉结扎术
   E. 明胶海绵充填术

84. 男性，30岁，由5m高处跌下2小时。腹痛，腹肌紧张，有压痛和反跳痛，肠鸣音弱。血压104/70 mmHg，脉率120次/分钟。血红蛋白80 g/L。X线检查：右侧第9、10肋骨骨折，右侧膈肌升高。最可能的诊断是
 ->A. 肝破裂
   B. 破裂
   C. 脾破裂
   D. 横结肠破裂
   E. 胰腺断裂

85. 女性，59岁。上腹包块伴腹胀1个月，无腹痛、无发热。2个月前曾患急性胰腺炎。查体：巩膜、皮肤无黄疸。上腹可扪及一约拳头大小包块，表面光滑，无明显压痛。B超检查提示为囊性包块。诊断首先考虑
   A. 胰腺囊腺瘤
 ->B. 胰腺假性囊肿
   C. 胰腺脓肿
   D. 胃癌
   E. 胰腺癌

86. 男性，34岁。上腹部被撞击2小时，感觉右上腹及背部疼痛，呕吐物为血性，X线检查示腹膜后积气，应考虑诊断为
   A. 肝破裂
   B. 右肾挫伤
 ->C. 十二指肠损伤
   D. 胆囊破裂
   E. 右半结肠损伤

87. 患者男，59岁。反复左上腹持续性隐痛伴腹胀、消瘦、脂肪泻4年，每次发作腹痛时有加剧，并向腰背部放射，呈束腰带状。既往有长期饮酒史。查体：皮肤巩膜无黄染。实验室检查：尿淀粉酶450 U/L，空腹血糖11.5 mmol/L。诊断首先考虑
   A. 胃溃疡
   B. 慢性结肠炎
 ->C. 慢性胰腺炎
   D. 胰头癌
   E. 十二指肠溃疡

88. 患者女，40岁。右乳房外上象限包块2 cm×3 cm，皮肤略回缩。右腋下可触及两枚大小分别为2 cm、1.5 cm质硬的淋巴结。手术后病理报告为乳腺癌伴淋巴结转移。该患者的TNM分期属于
 ->A. T<sub>2</sub>、N<sub>1</sub>、M<sub>0</sub>
   B. T<sub>1</sub>、N<sub>1</sub>、M<sub>0</sub>
   C. T<sub>3</sub>、N<sub>1</sub>、M<sub>0</sub>
   D. T<sub>3</sub>、N<sub>3</sub>、M<sub>0</sub>
   E. T<sub>3</sub>、N<sub>2</sub>、M<sub>0</sub>

89. 女性，38岁。左上肢痛5个月。查体：左上肢肌力4级，左下肢肌力4级。左侧C6以下痛温觉消失，左侧减退，C4水平痛觉过敏，左侧巴氏征阳性。首先要考虑的诊断是
   A. 脊髓炎
   B. 脊髓髓内肿瘤
 ->C. 脊髓髓外硬膜下肿瘤
   D. 脊髓硬膜外肿瘤
   E. 椎管病变压迫

90. 男性，12岁。头痛1年，加重伴呕吐1周。查体：双侧视乳头水肿，性早熟，双眼上视不能，病变应定位于
   A. 大脑半球
   B. 鞍区
 ->C. 松果体区
   D. 小脑半球
   E. 颈段脊髓

91. 男性，41岁。右上腹疼痛1年。B超检查：肝左外叶直径10 cm占位，边界不清，门静脉左支内可见癌栓。首选的治疗方案是
   A. 全身化疗
   B. 局部放疗
 ->C. 手术治疗
   D. 放射介入治疗
   E. 超声介入治疗

92. 女性，57岁。无意中发现右侧腋窝肿块2个月。查体双侧乳腺、锁骨上及颈部均未发现异常。活检证实为淋巴结转移癌。最可能的组织来源是
   A. 甲状腺
 ->B. 乳腺
   C. 肝脏
   D. 肺
   E. 脊椎

93. 男性的泌尿系损伤中，最常见的部位是
   A. 肾损伤
   B. 输尿管损伤
   C. 膀胱损伤
 ->D. 尿道损伤
   E. 阴茎损伤

94. 男性不育的预防，应做到以下几点，其中哪项是不正确的
   A. 预防性传播性疾病
   B. 隐睾症应在幼儿期作出处理
   C. 注意安全环境，避免对睾丸有害的理化因素影响
   D. 对采用有害睾丸功能的治疗，如肿瘤化疗等，可在用药前将病人的精液储存于精子库
 ->E. 禁忌手淫行为

95. 女性，35岁。肾病综合征患者，曾限钠和利尿治疗，因呼吸急促和右侧胸痛而进急诊室。胸片示右下叶浸润和少量胸腔积液，心电图示窦性心动过速。动脉血气分析示：PaO<sub>2</sub>70 mmHg，尿蛋白定量3.8 g/24h，红细胞2～5个/HP，血肌酐116 μmol/L。此时应做下列哪项检查
 ->A. 肺动脉造影
   B. 抗核抗体
   C. 静脉肾盂造影
   D. 肾动脉造影
   E. 肾组织活检

96. 男性，31岁。临床诊断肝脾破裂伴失血性休克，急症施行脾切除术和肝修补术控制出血，病情稳定。术后第3天患者出现巩膜黄疸，实验室检查：ALT118.3u/L，AST140.6u/L，血胆红素29.2 μmol/L。目前，患者发生急性肝功能损害的最可能原因是
   A. 急性肝炎
   B. 药物损害
 ->C. 休克致组织器官缺血缺氧性损害
   D. 全身炎症反应
   E. 创伤后感染

97. 患者男，52岁。驾车相撞时右上腹被方向盘顶伤3小时。查体：腹软，右中上腹部轻压痛，无反跳痛和肌紧张。X线腹平片检查：膈下未见游离气体，腹膜后有少量积气。腹腔穿刺（-）。对该患者，首先要考虑的是
   A. 空肠损伤
   B. 胃损伤
   C. 胆管损伤
 ->D. 十二指肠损伤
   E. 肾损伤
解析：十二指肠为腹膜后空腔脏器，其穿孔可引起腹膜后积气，其余穿孔均引起腹腔内游离气体。

98. 患者男，22岁。两天前左季肋部被打伤，当时仅感伤部疼痛，仍可工作。翌日伤部疼痛逐渐加重，仍勉强工作。今下午突然出现腹剧痛，晕倒在地。查体：P120次/分，BP80/60 mmHg。面色苍白，痛苦面容，被迫体位。全腹压痛，反跳痛明显，以左上腹为甚。诊断首先要考虑
   A. 急性脾破裂
 ->B. 延迟性脾破裂
   C. 肝破裂
   D. 肠系膜血管破裂
   E. 肾破裂
解析：脾脏质地脆弱，是腹内脏器中最易受伤的器官。脾损伤分为中央型破裂、被膜下破裂和真性破裂。前两种因被膜完整，出血量受到限制，可无失血性休克的表现。但仍有潜在的延迟性破裂可能性，如不注意绝对卧床休息，即使在微弱的外力作用下，也可发生严重的内出血。延迟性脾破裂是由脾中央破裂和被膜下破裂发展而形成的真性脾破裂，常因前期症状不典型，病情先轻后重，起病初期很难引起患者和医生的重视而易造成误诊或漏诊。

99. 女性，20岁。因甲亢行双侧甲状腺大部切除术，3天后出现声音嘶哑，可能的原因
   A. 喉上神经损伤
   B. 术中切断一侧喉返神经
   C. 术中误扎一侧喉返神经
 ->D. 术后血肿压迫
   E. 以上都不正确

100. 男性，33岁。急性肠梗阻施行剖腹探查术后2年3个月，腹痛、腹胀伴恶心、呕吐，无肛门排气排便在外院保守治疗7天转院。查体：体温37.8℃，脉搏110次/分，呼吸110次/分，血压86/60 mmHg。眼窝凹陷，舌干燥，皮肤弹性差、松弛，四肢凉。实验室检查：RBC6.2×10<sup>12</sup>/L，Hb165 g/L，HCT63%。血清Na<sup>+</sup>138 mmol/L，血清Cl<sup>-</sup>97 mmol/L，血浆渗透压298mOsm/L。尿比重1.027。患者目前存在的体液代谢失调是
   A. 低渗性缺水
   B. 高渗性缺水
 ->C. 等渗性缺水
   D. 继发性缺水
   E. 稀释性缺水

101. 男性，69岁。进行性排尿困难2年就诊。直肠指诊发现前列腺左侧有一1.5 cm×2 cm的硬结。PSA检查为120ng/ml，核素全身骨扫描示骨盆及腰椎多处放射性浓聚区。诊断为前列腺癌骨转移。目前，最适宜的治疗方式是
   A. 前列腺切除+放射治疗
   B. 根治性前列腺切除+盆腔淋巴结清扫
   C. 根治性前列腺切除+化学治疗
   D. 根治性前列腺切除+放射治疗
 ->E. 双侧睾丸切除+抗雄性激素药物+放射治疗

102. 男性，48岁。胃镜检查发现胃小弯侧1.2 cm×1.0 cm浅表溃疡，病理诊断为腺癌。手术切除标本病理示病变累及黏膜层及黏膜下层，小弯侧有2个淋巴结转移。应诊断为
   A. 中期胃癌
 ->B. 早期胃癌
   C. 小胃癌
   D. 进展期胃癌
   E. 晚期胃癌

103. 男性，50岁。右下肢大隐静脉曲张6年。查体：血压150/100 mmHg。右下肢自腹股沟至踝部可见明显静脉曲张团球，个别静脉壁变薄突出，右小腿下1/3及踝部皮肤有色素沉着，未扪及结节。浅静脉瓣膜功能、交通支瓣膜功能试验阳性，深静脉功能试验阴性。血胆固醇210 mg/dl。目前，治疗宜采取
   A. 应用弹力绷带加压
   B. 大隐静脉高位结扎加静脉剥脱、切除术
   C. 大隐静脉高位结扎术
   D. 硬化剂局部注射
 ->E. 先内科治疗，再考虑手术

104. 男性，60岁，高血压病10年，发现双下肢浮肿2个月，加重1周。患者双下肢可凹性水肿，说明体内水潴留超过
   A. 1kg
   B. 2kg
   C. 3kg
 ->D. 5kg
   E. 体重的5%

105. 男性，41岁。突然呕血300 ml，色暗红，并黑便两次。查体：蜘蛛痣（+），肝肋下1指，质硬，脾肋下3指，少量腹水。对该患者的正确治疗方法是
   A. 服用胃黏膜保护剂
   B. 输白蛋白
   C. 静脉注射维生素K<sub>1</sub>
   D. 静脉注射止吐药
 ->E. 静脉滴注垂体后叶素

106. 患者男，30岁。右颈部外伤术后2个月。查体发现右侧瞳孔缩小，上睑下垂，眼球内陷。诊断首先应考虑的是
   A. 合并喉返神经损伤
   B. 合并迷走神经损伤
   C. 合并臂丛神经损伤
 ->D. 合并颈交感神经损伤
   E. 合并膈神经损伤
解析：Horner综合征包括：瞳孔缩小、上睑下垂和眼球内陷，由颈交感神经损伤引起。

107. 男性，36岁。施工时不慎跌落，骑跨于水泥墙上，排尿困难已有3小时。首先要进行的检查是
 ->A. 导尿
   B. 尿道探条检查
   C. 尿道膀胱镜检查
   D. 输尿管镜检查
   E. 尿流动力学检查

108. 男性，40岁。进油腻食物并饮白酒0.5kg后剧烈上腹痛4小时。查体：上腹部剑突下及左上腹压痛明显，无反跳痛和肌紧张。此时，首先要做的检查是
 ->A. 血淀粉酶测定
   B. 尿三胆及胆红素
   C. 血常规
   D. 尿淀粉酶测定
   E. 谷丙转氨酶测定

109. 女性，55岁。行右乳癌改良根治术，TNM分期为：T2N0M0，雌、孕激素受体均为阴性。手术后2年发现右胸壁出现一直径1 cm结节，经手术切除，病理检查证实为乳癌复发。此时治疗宜采取
   A. 化学治疗
 ->B. 放射治疗
   C. 内分泌治疗
   D. 扩大切除右胸壁复发结节范围
   E. 门诊随访观察

110. 患者男，63岁。临床诊断胃癌，术中发现胃窦部5 cm×6 cm肿块，与胰腺、肠系膜上静脉等组织浸润粘连固定，肝脏有散在多个大小不等转移结节、盆腔广泛种植性转移灶。此时，手术方式宜采取
   A. 胃癌根治术
   B. 胃空肠吻合术
   C. 胃癌扩大根治术
   D. 姑息性胃癌切除术+静脉插管化疗
 ->E. 关腹后化疗
解析：根据术中所见，患儿的胃癌已经广泛转移，属于晚期胃癌。晚期胃癌患者采用化疗。

111. 患者，女性，58岁。少尿1周入院。血压180/120 mmHg，嗜睡，贫血，颜面及双下肢水肿。血尿素氮42 mmol/L，肌酐138 μmol/L，血钾6.2 mmol/L，血钙2.0 mmol/L，二氧化碳结合力12 mmol/L。在纠正酸中毒的过程中突然手足搐搦，意识清楚，病理征阴性。其手足搐搦的原因可能是
   A. 由高血压引起
   B. 尿毒症脑病
   C. 由高钾血症引起
 ->D. 因补碱引起
   E. 脑出血

112. 男性，55岁。弯腰搬重物时出现下腹痛，无肛门排便排气2天。既往有多年便秘和腹痛史。查体：全腹胀，左下腹压痛明显，未扪及包块，肠鸣音亢进。直肠指诊阴性。钡剂灌肠只能进入200 ml，钡柱尖端呈鸟嘴形。最可能的诊断是
   A. 小肠扭转
   B. 结肠肿瘤性梗阻
 ->C. 乙状结肠扭转
   D. 肠套叠
   E. 肠系膜血管栓塞

113. 患者男，38岁。左下腹被拖拉机压伤后3天。入院时有弥漫性腹膜炎，感染性休克表现。经积极抗休克治疗后，行剖腹探查术。术中发现腹腔内有约800 ml黄色浑浊脓性渗出液，降结肠下段有一直径约0.5 cm大小穿孔，有少量肠液溢出。正确的手术方式是
   A. 降结肠穿孔修补，冲洗腹腔，腹腔引流术
   B. 左半结肠切除术
   C. 降结肠穿孔处肠段切除，断端吻合术，冲洗腹腔，腹腔引流术
   D. 降结肠穿孔外置，冲洗腹腔，腹腔引流术
 ->E. 横结肠单腔造瘘，远端关闭，穿孔修补，冲洗腹腔，腹腔引流术

114. 男性，30岁。上腹疼痛伴反酸4年，昨日始呕血，黑便总量约400 ml。该患者出血最可能的原因是
   A. 胆道出血
   B. 胃癌出血
   C. 食管胃底静脉曲张破裂出血
 ->D. 胃十二指肠溃疡出血
   E. 应激性溃疡出血

115. 患者女，26岁，体重60kg。双上肢、躯干（包括会阴部）Ⅱ度烧伤。按国内通用补液公式，伤后第一个24小时补液总量=体重（kg）X烧伤面积（％）X1.5+2000 ml。第1个24小时的补液量应为
   A. 4050 ml
   B. 2050 ml
 ->C. 6050 ml
   D. 5060 ml
   E. 9050 ml

116. 患者男，40岁，因腹股沟可复性肿物3年，突然脱出并伴剧痛10小时，无法还纳，而行急诊手术治疗，术中发现疝囊内肠管发黑，而行肠切除、吻合术后，对于疝的治疗正确的是行
 ->A. 单纯疝囊高位结扎术
   B. Ferguson法疝修补术
   C. MeVay法疝修补术
   D. Halsted法疝修补术
   E. Bassini法疝修补术

117. 男性，42岁。急性腹痛、腹胀，无排气排便，伴有呕吐，呕吐物为暗褐色液体，查隐血（+），诊断可能为
   A. 单纯性机械性肠梗阻
   B. 输尿管结石
   C. 急性阑尾炎
   D. 胆道蛔虫症
 ->E. 绞窄性肠梗阻

118. 女性，65岁。头部摔伤3个月，头痛、呕吐1天。CT检查发现左侧幕上新月形等密度病灶，中线移位。治疗宜采取
   A. 开颅血肿清除术
   B. 去骨瓣减压术
 ->C. 钻孔引流术
   D. 保守治疗
   E. 以上都不是

119. 男性，9岁。上学途中被自行车撞倒，右颞部着地，当时昏迷达20分钟。醒后轻微头痛，四肢活动自如，次日感头痛加重，呕吐数次，伴嗜睡。来院就诊首先要做的检查是
 ->A. 头颅CT
   B. 头颅MRI
   C. 脑血管造影
   D. 脑池造影
   E. 腰穿

120. 男性，47岁。原发性肝癌手术治疗后出院，门诊复查中，哪项不是必需的检查
   A. 胸部X线片
   B. 肝脏B超
 ->C. 癌胚抗原（CEA）
   D. 甲胎球蛋白
   E. 肝功能

121. 女性尿路感染的最常见途径是
   A. 下行感染
 ->B. 上行感染
   C. 血行感染
   D. 淋巴感染
   E. 直接蔓延

122. 患者女，50岁。半年前因急性上腹痛住院，临床诊断为急性胰腺炎，经治疗后痊愈。近2个月上腹部逐渐隆起，无腹痛和发热，进食后有腹胀。查体：上腹部可扪及一约拳头大小包块，表面光滑，活动度差。最可能的诊断是
   A. 胰腺囊腺瘤
   B. 胰腺寄生虫性囊肿
 ->C. 胰腺假性囊肿
   D. 胰头肿瘤
   E. 胰腺滞留性囊肿

123. 患者，男性，主诉头痛伴恶心呕吐2个月，入院检查：左侧两点辨别觉、实体觉和对侧肢体的位置觉障碍，外院头颅CT示左侧大脑半球肿瘤，根据以上检查，肿瘤最可能位于半球的哪个部位
   A. 额叶
   B. 颞叶
 ->C. 顶叶
   D. 枕叶
   E. 岛叶

124. 男性，45岁，高压电击伤左前臂及左下肢6小时。查体：P120次，BP80/60 mmHg。烧伤面积为20%，左前臂和左小腿肿胀明显，肢端冰凉，末梢循环差。首先应采取的紧急处理措施是
   A. 补液抗休克
   B. 吸氧，镇静止痛，清创包扎创面
 ->C. 急诊施行切开减张术，输液并碱化尿液
   D. 应用抗生素
   E. 创面碘伏纱布覆盖，待休克好转后施行清创术

125. 患者男，65岁。上腹部疼痛伴乏力、恶心、呕吐12小时，右下腹疼痛，解稀便4小时。查体：T 37.5℃。右下腹轻压痛及反跳痛，肌紧张不明显，肠鸣音活跃。实验室检查：白细胞15.0×10<sup>9</sup>/L，中性粒细胞92%，尿常规：红细胞（++），白细胞少许。诊断首先要考虑
