1. 患者，张某，女，32岁，因发现同房后出血3月就诊，行TCT检查示：LSIL，此患者进一步应行何种检查以确诊
   A. 推离膀胱反折腹膜时避免损伤膀胱
   B. 推离直肠子宫腹膜反折时，避免损伤直肠
   C. 切断子宫骶骨韧带时，避免损伤输尿管
 ->D. 切断圆韧带时，避免损伤输尿管
   E. 切断子宫动脉时，注意勿损伤输尿管

81. 孕妇，33岁，G<sub>1</sub>P<sub>0</sub>，41周妊娠，产前检查均正常。自觉胎动减少1 d收入院。检查：血压14.63/9.31 kPa（110/70 mmHg），子宫底高度35 cm，腹围100 cm，胎方位LOA，胎头先露、高浮，胎心率120次/分。以下哪项并不提示胎儿窘迫
   A. 胎儿头皮血pH7.2
 ->B. NST有反应型
   C. OCT重度变异减速
   D. OCT频发晚期减速
   E. 胎心率基线120~110次/分平直型

82. 25岁初孕妇，妊娠36周，枕右前位，出现阴道流血，无宫缩，胎心136次/分。本例最恰当的处理方法应是
 ->A. 期待疗法
   B. 缩宫素静脉滴注引产
   C. 立即行人工破膜
   D. 立即静脉滴注止血药物
   E. 行剖宫产术

83. 女性，29岁，停经50天后出现阴道大量流血伴右下腹痛，今日突然右下腹剧痛难忍，来院就诊。查体：血压80/60mmHg。患者面青唇白，腹部稍膨隆，右下腹压痛显著。妇科检查：子宫稍大，较软，右附件区触及一压痛之包块，阴道后穹隆穿刺为不凝血，最可能的诊断是
 ->A. 输卵管妊娠流产
   B. 前兆流产
   C. 黄体破碎
   D. 急性阑尾炎
   E. 急性输卵管炎

84. 孕妇，24岁，停经26周，发现血压升高1周，头痛2天，血压最高161/108 mmHg，查体24小时尿蛋白3.0 g，孕妇解痉治疗首选
   A. 苯巴比妥
   B. 苯妥英钠
   C. 地西泮
 ->D. 硫酸镁
   E. 哌替啶

85. 女性，28岁，怀孕8周，近2周来恶心呕吐，无法进食，测尿酮体（+++），诊断为妊娠剧吐，与该疾病有关的激素是
   A. 雌激素
   B. 孕激素
 ->C. 人绒毛膜促性腺激素
   D. 促黄体生成素
   E. 催乳素

86. 患者女，36岁。首次妊娠36周，近日出现咳嗽、气促、下肢可凹性水肿，查体：血压140/78mmHg，心率l10次/分，心尖区可闻及SM2～3/6级反流性杂音第三心音奔马律。既往无心脏病史，超声心动图示全心扩大，EF30%。最可能的诊断是
   A. 扩张型心肌病
   B. 病毒性心肌炎
 ->C. 围生期心肌病
   D. 妊娠高血压心脏病
   E. 风湿性心肌炎

87. 孕妇37岁，G<sub>1</sub>P<sub>0</sub>，孕16周来遗传咨询门诊就诊。查体：宫底脐下一横指，胎心率140 bpm。孕12周时超声测量NT 0.1 cm，其他相关检查结果均正常。请问应建议孕妇进行下列哪项检查
   A. 血清学筛查
   B. 基于孕妇外周血胎儿游离DNA的筛查
 ->C. 羊膜腔穿刺术
   D. 系统胎儿超声检查
   E. 以上都不是

88. 妊娠合并糖尿病患者，39周妊娠临产。产程观察中处理不正确的是
   A. 临产后仍采用糖尿病饮食
   B. 产程中一般停用皮下注射胰岛素
   C. 孕前糖尿病者血糖的调整通过静脉输液调整胰岛素用量
 ->D. 血糖＜5.6 mmol/L，不用胰岛素
   E. 产程不宜过长

89. 36周妊娠孕妇，产前检查哪项结果不能用生理妊娠解释
   A. 出现蜘蛛痣及肝掌
   B. 碱性磷酸酶明显升高
   C. 白蛋白轻度减少
 ->D. 胆红素升高
   E. 转氨酶轻度升高

90. 初产妇，30岁，重度子痫前期，剖宫产分娩，胎盘娩出后子宫收缩差，出血较多，考虑宫缩乏力，下列处理不恰当的是
   A. 按摩子宫
   B. 静滴缩宫素
   C. 子宫动脉上行支结扎
 ->D. 立即行子宫切除术
   E. 输液、输血纠正休克

91. 初产妇，30岁，重度子痫前期，剖宫产分娩，胎盘娩出后子宫收缩差，出血较多，考虑宫缩乏力，下列处理不恰当的是
   A. 按摩子宫
   B. 静滴缩宫素
   C. 子宫动脉上行支结扎
 ->D. 立即行子宫切除术
   E. 输液、输血纠正休克

92. 孕妇，24岁，停经26周，发现血压升高1周，头痛2天，血压最高161/108 mmHg，查体24小时尿蛋白3.0 g，孕妇解痉治疗首选
   A. 苯巴比妥
   B. 苯妥英钠
   C. 地西泮
 ->D. 硫酸镁
   E. 哌替啶

93. 经产妇，30岁，孕2产1，孕33周伴头昏乏力，查：胎心正常，LOA，血红蛋白75 g/L，MCV 80 fl， 血涂片可见靶形细胞，网织红细胞增高，腹部B超肝脾大。第一胎男孩7岁时因重度溶血性贫血、肾衰死亡。其丈夫染色体检查正常。此孕妇贫血的诊断最大可能是
   A. 缺铁性贫血
   B. 巨幼红细胞性贫血
   C. 再生障碍性贫血
 ->D. 地中海贫血
   E. 溶血性贫血
解析：地中海贫血是一组遗传性溶血性贫血疾病，题中对第一胎的描述提示可能存在遗传性。靶形细胞，网织红细胞增高，腹部B超肝脾大都是地中海贫血的特点。

94. 孕妇32岁，停经9周，来医院建卡，超声提示双胎妊娠，下一次超声检查时间应该为
   A. 2周后复查胎儿发育
 ->B. 11～13<sup>+6</sup>周做NT检查，并进一步确定绒毛膜性
   C. 16周行胎儿羊水、大小及脐血流检查。同时行中期唐氏血清学筛查
   D. 20～24周行大排畸形检查
   E. 20周行超声检查并行羊水穿刺

95. 42岁，性交后出现阴道出血5个月，妇科检查：宫颈为菜花状赘生物，直径约6 cm，阴道穹隆部变硬，子宫前位，大小正常，欠活动，两侧主韧带呈条索状增粗，质硬，延伸未达盆壁。宫颈活检为鳞状细胞癌n级，合适的治疗为
   A. 化疗
   B. 广泛性子宫切除+双侧淋巴结清扫术
   C. 放疗后全子宫切除术
   D. 化疗后全子宫切除术
 ->E. 体外放疗+腔内放疗
解析：该患者宫颈癌分期已达Ⅱb期，且为巨块型，不宜手术，首先放疗。放疗效果与手术治疗相当。

96. 孕妇，25岁，G<sub>1</sub>P<sub>0</sub>，42周妊娠，平时月经规则，周期 28天，妊娠期无特殊。主诉近2天胎动减少。 NST为无反应型，宫颈成熟度评分（Bishop评分）为6分。首选的正确处理方法是
   A. 立即行剖宫产术
   B. 吸氧继续观察
   C. 做OCT
 ->D. 行人工破膜术，了解羊水性状
   E. 次日复查NST

97. 女性，34岁，停经9周，B超提示宫内妊娠，恶心、呕吐1周，诊断为妊娠剧吐，予对症支持及补液治疗，近2天来体温波动在38℃～39℃，休息时心率>120次/分，应采取的措施是
 ->A. 终止妊娠
   B. 抗生素治疗
   C. 止吐镇静
   D. 物理降温
   E. 补液治疗

98. 女性，26岁，孕前咨询，三年前患有尖锐湿疣，治愈，随访一年后未见复发，下列叙述不正确的是
   A. 此患者可怀孕
 ->B. 此患者妊娠后应行剖宫产分娩
   C. 此患者妊娠后可以经阴道分娩
   D. 此患者应检查有无合并其他性传播疾病
   E. 此患者仍有传染胎儿的可能性
解析：妊娠合并尖锐湿疣终止妊娠的指征主要是产科指征而不能因为很低的新生儿喉乳头瘤发病率而决定，另外剖宫产也不能防止胎儿宫内感染。对外阴阴道湿疣应在34周前积极治疗，以免影响会阴伤口的愈合。

99. 女，30岁，月经稀少8年，婚后3年不孕，伴有经期发热，妇科检查：宫颈光滑，子宫后倾，正常大小，活动欠佳，双附件压之酸胀感，血沉30 mm/h，最可能的诊断是
   A. 慢性盆腔炎
   B. 子宫内膜异位症
 ->C. 子宫内膜结核
   D. 小型子宫肌瘤
   E. 席汉氏综合征

100. 女性，46岁，体检发现子宫实性占位性病变10年，经量增多半年，考虑为多发性子宫肌瘤，遂行全子宫切除术。请问支持子宫的相关韧带不包括以下哪一条
   A. 圆韧带
   B. 主韧带
   C. 宫骶韧带
   D. 阔韧带
 ->E. 骨盆漏斗韧带

101. 孕妇 25岁，不定期产检，自述现停经36周，超声提示：胎儿生长相当孕33周，以下哪项对于诊断孕妇是否FGR最有意义
 ->A. 根据早孕超声核实预产期
   B. 再次详细超声检测
   C. 询问患者近期饮食情况
   D. 超声检测胎儿脐血流情况
   E. 以上都是

102. 女，40岁，停经18周，阴道不规则出血2周。查子宫明显增大，宫底平脐，但未触及胎体，多普勒不能听到胎心。确诊为葡萄胎后，应尽快采取的措施是
 ->A. 备血，立即行清宫术
   B. 立即开始化疗
   C. 输血输液
   D. 行子宫切除术
   E. 给予静脉催产素

103. 孕妇，25岁，现孕27周，近1月出现反复咳嗽，伴低热、乏力、盗汗，体重不增。胎心胎动正常。目前考虑诊断为
   A. 妊娠合并支气管哮喘
   B. 妊娠合并肺炎
   C. 妊娠合并肺脓肿
 ->D. 妊娠合并肺结核
   E. 妊娠合并支气管炎

104. 患者第二次妊娠，既往人工流产1次，现孕28周，Rh（D）阴性，丈夫Rh（D）阳性，抗D抗体滴度为1∶8，以下哪项处理正确
   A. 立即注射抗D免疫球蛋白，预防胎儿溶血
   B. 因滴度小于1∶8，故胎儿无溶血性贫血风险，不需再监测
   C. 立即监测MCA-PSV
   D. 有必要行脐血穿刺，了解胎儿血型及贫血情况
 ->E. 继续监测抗D抗体滴度，如达到1∶16及以上，监测MCA-PSV

105. 患者妊娠12周，饱餐后出现右上腹绞痛，恶心，呕吐伴有下浮阵痛，无阴道流血流液。既往有胆结石病史4年，偶有发作，能自行缓解。该患者最可能的诊断是
   A. 妊娠合并急性阑尾炎
   B. 先兆流产
 ->C. 妊娠合并急性胆囊炎
   D. 妊娠合并急性胰腺炎
   E. 妊娠合并右输尿管结石

106. 女性，18岁，高中生，体育课后逐渐感右下腹部绞痛，伴恶心、呕吐，2小时。B超检查提示右卵巢肿瘤扭转，行剖腹探查术，术式的选择，应根据
   A. 肿瘤的大小
   B. 肿瘤是否破裂
   C. 附件扭转是否变色
   D. 快速病理报告
 ->E. 卵巢血供及快速病理

107. 27岁初产妇，妊娠40周，宫口开全3 h，胎头大囟位于8点方向，胎膜已破，羊水Ⅲ度，S+4，拟选择胎头吸引术，其与产钳术相比优点是
   A. 适应证广，可用于各种胎方位
   B. 对胎儿无影响
   C. 娩出时间较产钳短
 ->D. 对母体损伤、感染少
   E. 牵引时不受产力影响

108. 女性，23岁，月经期下腹剧痛8年。查体：子宫正常大小，双附件无异常。初步诊断为原发性痛经。该患者已婚，暂无生育计划。最佳治疗方法是
   A. 经期服用氟芬那酸
   B. 经期服用布洛芬
   C. 雌孕激素序贯疗法
 ->D. 口服避孕药
   E. 单用孕激素

109. 女性，27岁。结婚2年未孕（同居、未避孕），为了解排卵功能，决定做阴道细胞学涂片检查，医生在考虑采样和分析结果时，下列哪项是错误的
   A. 阴道黏膜受雌孕激素的变化而改变
 ->B. 阴道黏膜的变化在阴道中1/3处最明显
   C. 排卵前在雌激素作用下增生角化
   D. 排卵前阴道细胞富含糖原，并被阴道杆菌分解而呈酸性
   E. 排卵后在孕激素作用下上皮细胞大量脱落

110. 27岁，G<sub>1</sub>P<sub>0</sub>，孕32周，头位，阴道出血3天，量少，无腹痛，胎心正常，无明显宫缩，诊断为完全性前置胎盘，恰当处理是
 ->A. 绝对卧床，期待治疗
   B. 立即行人工破膜
   C. 立即行缩宫素引产，宫口开大后行碎胎术
   D. 立即行剖宫产术
   E. 立即人工破膜及滴注缩宫素
解析：保证孕妇安全的前提下延长胎龄，使胎儿达到或接近足月，提高围生儿存活率。应住院绝对卧床休息，左侧卧位，定时吸氧，提高胎儿血氧供应。尽量维持妊娠达36周。在等待过程中，保持孕妇良好情绪，配血备用，适当应用镇静剂及补血药或输血。必要时给宫缩抑制剂，如盐酸利托君、硫酸镁。32～34周妊娠者，应给予地塞米松5～10 mg静脉或肌内注射，每日两次，连用2～3天，促胎儿肺成熟。在观察期间发生大量阴道流血或反复流血，应终止妊娠。

111. 患者43岁，浸润性催乳素瘤，药物治疗无效，两次经鼻经蝶手术，术后再次复发，目前建议采用何种治疗手段
   A. 化疗
   B. 开颅手术
 ->C. 放射治疗
   D. 姑息治疗
   E. 服用大剂量溴隐亭

112. 新婚妇女，停经46天后出现阴道少量流血伴右下腹痛，今晨突然右下腹剧烈疼痛，难以忍受，来院就诊。查体：患者面色苍白，口唇色淡，腹部稍膨隆，右下腹压痛明显。即刻测血压 80/60 mmHg，妇科检查：子宫稍大，较软，右附件区触及一压痛之包块，阴道后穹隆穿刺得到不凝血，本例可能为
 ->A. 输卵管妊娠流产或破裂（非间质部）
   B. 输卵管间质部妊娠破裂
   C. 急性阑尾炎
   D. 黄体破裂
   E. 急性输卵管炎

113. 女，36岁，行IVF-ET，移植2个胚胎，如果成功妊娠，一次妊娠同时有（    ）个及以上的胎儿形成称为多胎妊娠。
   A. 1
 ->B. 2
   C. 3
   D. 4
   E. 5

114. 26岁初产妇，G<sub>1</sub>P<sub>0</sub>，孕40周，骨盆外测量正常，估计胎儿体重3500克，宫口开全2+h，S+1，胎方位LOA，胎心率120~130次/分，下列哪项不具备行胎头吸引术条件
   A. 宫口开全
   B. 头盆相称
 ->C. 胎先露+1
   D. 胎心音尚好
   E. 胎位正常

115. 女，32岁，既往腹膜炎病史，行IVF-ET，取卵术后出现持续性腹痛及恶心，超声检查评估腹腔内出血量约400 ml，之后在观察过程中出现血压下降、脉搏细弱，血色素进行性降低，此时应该
   A. 给予止血药
   B. 卧床休息
   C. 输液、输血治疗
   D. 止血药物治疗
 ->E. 输液输血同时立即手术治疗

116. 孕妇，38岁，双胎妊娠，现孕16周，过来咨询是否要行唐氏综合征检查，应告知
   A. 孕11~13<sup>+6</sup>周之间行NT检查
   B. 孕11~13<sup>+6</sup>周行血清学筛查
   C. 孕14〜20周之间行NT检查
   D. 孕14〜20周行血清学筛查
 ->E. 直接进行羊水穿刺

117. 孕妇，28岁，现孕29周，近1月出现反复咳嗽，伴低热、乏力、盗汗，体重不增。胎心胎动正常。胎儿B超：如孕周，结构未见异常。患者咨询对胎儿的处理，应建议患者
   A. 立即剖宫产终止妊娠
 ->B. 继续妊娠
   C. 立即利凡诺引产
   D. 立即缩宫素引产
   E. 立即行产前诊断了解宫内感染情况

118. 初产妇，39周妊娠，临产10小时入院。检查：宫高39 cm，估计胎儿3800 g，左枕前位胎心好，宫缩强，宫口开大4 cm，胎头跨耻征阳性，应采取何项处理
   A. 等待自然分娩
   B. 人工破膜
 ->C. 行剖宫产术终止妊娠
   D. 缩宫素静点
   E. 阴道检查
解析：宫口开大4 cm，估计胎儿较大，胎头跨耻征阳性，说明存在头盆不称，应剖宫产终止妊娠。

119. 27岁女性，孕前有ITP病史，未规律治疗，停经9周，B超提示宫内早孕，ITP对妊娠的影响下列哪项不正确
 ->A. 主要影响是引起早产
   B. 自然流产和母婴死亡率高
   C. 阴道壁血肿
   D. 产道裂伤出血
   E. 颅内出血

120. 初产妇24岁，G<sub>2</sub>P<sub>0</sub>，孕38周，宫口开全3 h，胎膜已破，羊水Ⅲ度污染，胎心140次/分，估计胎儿体重3000 g，阴道检查：宫口开全，胎头S+3，胎方位LOA，骨盆无明显狭窄。下列哪项表述不恰当
   A. 该病例中宫口开全，无明显头盆不称，可选择行低位产钳助产
   B. 需具备新生儿复苏的人员和设备支持
 ->C. 若胎先露+2以上，也可选择行低位产钳助产
   D. 可选择行胎头吸引术
   E. 应充分医患沟通，签署知情同意书

121. 女，34岁，曾分娩一唐氏综合征患儿，本次妊娠期推荐进行
   A. 早期唐氏综合征筛查
